Id,Geography,MedianIncome
0500000US13245,"Richmond County, Georgia",39430
0500000US13247,"Rockdale County, Georgia",54175
0500000US13249,"Schley County, Georgia",41267
0500000US13251,"Screven County, Georgia",36556
0500000US13253,"Seminole County, Georgia",33999
0500000US13255,"Spalding County, Georgia",42398
0500000US13257,"Stephens County, Georgia",39756
0500000US13259,"Stewart County, Georgia",22413
0500000US13261,"Sumter County, Georgia",34219
0500000US13263,"Talbot County, Georgia",37226
0500000US13265,"Taliaferro County, Georgia",30500
0500000US13267,"Tattnall County, Georgia",36355
0500000US13269,"Taylor County, Georgia",29875
0500000US13271,"Telfair County, Georgia",28044
0500000US13273,"Terrell County, Georgia",32219
0500000US13275,"Thomas County, Georgia",41336
0500000US13277,"Tift County, Georgia",38728
0500000US13279,"Toombs County, Georgia",35750
0500000US13281,"Towns County, Georgia",41182
0500000US13283,"Treutlen County, Georgia",39375
0500000US13285,"Troup County, Georgia",43597
0500000US13287,"Turner County, Georgia",42622
0500000US13289,"Twiggs County, Georgia",30629
0500000US13291,"Union County, Georgia",42767
0500000US13293,"Upson County, Georgia",35375
0500000US13295,"Walker County, Georgia",43581
0500000US13297,"Walton County, Georgia",55876
0500000US13299,"Ware County, Georgia",36962
0500000US13301,"Warren County, Georgia",32860
0500000US13303,"Washington County, Georgia",38097
0500000US13305,"Wayne County, Georgia",41534
0500000US13307,"Webster County, Georgia",36658
0500000US13309,"Wheeler County, Georgia",28490
0500000US13311,"White County, Georgia",43944
0500000US13313,"Whitfield County, Georgia",43871
0500000US13315,"Wilcox County, Georgia",35457
0500000US13317,"Wilkes County, Georgia",34234
0500000US13319,"Wilkinson County, Georgia",38711
0500000US13321,"Worth County, Georgia",40369
0500000US15001,"Hawaii County, Hawaii",56395
0500000US15003,"Honolulu County, Hawaii",80078
0500000US15005,"Kalawao County, Hawaii",61750
0500000US15007,"Kauai County, Hawaii",72330
0500000US15009,"Maui County, Hawaii",72762
0500000US16001,"Ada County, Idaho",60151
0500000US16003,"Adams County, Idaho",42727
0500000US16005,"Bannock County, Idaho",47390
0500000US16007,"Bear Lake County, Idaho",50603
0500000US16009,"Benewah County, Idaho",43472
0500000US16011,"Bingham County, Idaho",51307
0500000US16013,"Blaine County, Idaho",58835
0500000US16015,"Boise County, Idaho",49964
0500000US16017,"Bonner County, Idaho",45607
0500000US16019,"Bonneville County, Idaho",54150
0500000US16021,"Boundary County, Idaho",39512
0500000US16023,"Butte County, Idaho",43207
0500000US16025,"Camas County, Idaho",36667
0500000US16027,"Canyon County, Idaho",46426
0500000US16029,"Caribou County, Idaho",58750
0500000US16031,"Cassia County, Idaho",48162
0500000US16033,"Clark County, Idaho",31927
0500000US16035,"Clearwater County, Idaho",41122
0500000US16037,"Custer County, Idaho",37976
0500000US16039,"Elmore County, Idaho",45154
0500000US16041,"Franklin County, Idaho",51583
0500000US16043,"Fremont County, Idaho",51806
0500000US16045,"Gem County, Idaho",42888
0500000US16047,"Gooding County, Idaho",42626
0500000US16049,"Idaho County, Idaho",40299
0500000US16051,"Jefferson County, Idaho",58055
0500000US16053,"Jerome County, Idaho",46421
0500000US16055,"Kootenai County, Idaho",53189
0500000US16057,"Latah County, Idaho",43310
0500000US16059,"Lemhi County, Idaho",36031
0500000US16061,"Lewis County, Idaho",40313
0500000US16063,"Lincoln County, Idaho",46383
0500000US16065,"Madison County, Idaho",33620
0500000US16067,"Minidoka County, Idaho",48021
0500000US16069,"Nez Perce County, Idaho",51804
0500000US16071,"Oneida County, Idaho",43491
0500000US16073,"Owyhee County, Idaho",36092
0500000US16075,"Payette County, Idaho",48447
0500000US16077,"Power County, Idaho",47602
0500000US16079,"Shoshone County, Idaho",39835
0500000US16081,"Teton County, Idaho",55986
0500000US16083,"Twin Falls County, Idaho",49118
0500000US16085,"Valley County, Idaho",54015
0500000US16087,"Washington County, Idaho",37521
0500000US17001,"Adams County, Illinois",48454
0500000US17003,"Alexander County, Illinois",31014
0500000US17005,"Bond County, Illinois",54393
0500000US17007,"Boone County, Illinois",62701
0500000US17009,"Brown County, Illinois",56289
0500000US17011,"Bureau County, Illinois",54271
0500000US17013,"Calhoun County, Illinois",53641
0500000US17015,"Carroll County, Illinois",50555
0500000US17017,"Cass County, Illinois",50156
0500000US17019,"Champaign County, Illinois",49586
0500000US17021,"Christian County, Illinois",50668
0500000US17023,"Clark County, Illinois",52068
0500000US17025,"Clay County, Illinois",47427
0500000US17027,"Clinton County, Illinois",64543
0500000US17029,"Coles County, Illinois",41907
0500000US17031,"Cook County, Illinois",59426
0500000US17033,"Crawford County, Illinois",47468
0500000US17035,"Cumberland County, Illinois",50680
0500000US17037,"DeKalb County, Illinois",58343
0500000US17039,"De Witt County, Illinois",55411
0500000US17041,"Douglas County, Illinois",52261
0500000US17043,"DuPage County, Illinois",84442
0500000US17045,"Edgar County, Illinois",47873
0500000US17047,"Edwards County, Illinois",49632
0500000US17049,"Effingham County, Illinois",54655
0500000US17051,"Fayette County, Illinois",44541
0500000US17053,"Ford County, Illinois",50851
0500000US17055,"Franklin County, Illinois",39454
0500000US17057,"Fulton County, Illinois",48599
0500000US17059,"Gallatin County, Illinois",42450
0500000US17061,"Greene County, Illinois",44502
0500000US17063,"Grundy County, Illinois",71598
0500000US17065,"Hamilton County, Illinois",47293
0500000US17067,"Hancock County, Illinois",51460
